,u,v
0,0,976
1,0,523
2,0,1436
3,0,2206
4,0,1311
5,0,1440
6,0,1314
7,0,1319
8,0,817
9,0,1969
10,0,1846
11,0,1851
12,0,1217
13,0,962
14,0,1619
15,0,852
16,0,2260
17,0,2136
18,0,1625
19,0,1635
20,0,2153
21,0,2282
22,0,1264
23,0,1009
24,0,2294
25,0,1911
26,523,1436
27,523,2206
28,523,1311
29,523,1440
30,523,1314
31,523,1319
32,523,817
33,523,1969
34,523,1846
35,523,1851
36,523,1217
37,523,962
38,523,1619
39,523,852
40,523,2260
41,523,2136
42,523,1625
43,523,1635
44,523,2153
45,523,2282
46,523,1264
47,523,1009
48,523,2294
49,523,1911
50,1436,2206
51,1311,1436
52,1436,1440
53,1314,1436
54,1319,1436
55,817,1436
56,1436,1969
57,1436,1846
58,1436,1851
59,1217,1436
60,962,1436
61,1436,1619
62,852,1436
63,1436,2260
64,1436,2136
65,1436,1625
66,1436,1635
67,1436,2153
68,1436,2282
69,1264,1436
70,1009,1436
71,1436,2294
72,1436,1911
73,1311,2206
74,1440,2206
75,1314,2206
76,1319,2206
77,817,2206
78,1969,2206
79,1846,2206
80,1851,2206
81,1217,2206
82,962,2206
83,1619,2206
84,852,2206
85,2206,2260
86,2136,2206
87,1625,2206
88,1635,2206
89,2153,2206
90,2206,2282
91,1264,2206
92,1009,2206
93,2206,2294
94,1911,2206
95,1311,1440
96,1311,1314
97,1311,1319
98,817,1311
99,1311,1969
100,1311,1846
101,1311,1851
102,1217,1311
103,962,1311
104,1311,1619
105,852,1311
106,1311,2260
107,1311,2136
108,1311,1625
109,1311,1635
110,1311,2153
111,1311,2282
112,1264,1311
113,1009,1311
114,1311,2294
115,1311,1911
116,1314,1440
117,1319,1440
118,817,1440
119,1440,1969
120,1440,1846
121,1440,1851
122,1217,1440
123,962,1440
124,1440,1619
125,852,1440
126,1440,2260
127,1440,2136
128,1440,1625
129,1440,1635
130,1440,2153
131,1440,2282
132,1264,1440
133,1009,1440
134,1440,2294
135,1440,1911
136,1314,1319
137,817,1314
138,1314,1969
139,1314,1846
140,1314,1851
141,1217,1314
142,962,1314
143,1314,1619
144,852,1314
145,1314,2260
146,1314,2136
147,1314,1625
148,1314,1635
149,1314,2153
150,1314,2282
151,1264,1314
152,1009,1314
153,1314,2294
154,1314,1911
155,817,1319
156,1319,1969
157,1319,1846
158,1319,1851
159,1217,1319
160,962,1319
161,1319,1619
162,852,1319
163,1319,2260
164,1319,2136
165,1319,1625
166,1319,1635
167,1319,2153
168,1319,2282
169,1264,1319
170,1009,1319
171,1319,2294
172,1319,1911
173,817,1969
174,817,1846
175,817,1851
176,817,1217
177,817,962
178,817,1619
179,817,852
180,817,2260
181,817,2136
182,817,1625
183,817,1635
184,817,2153
185,817,2282
186,817,1264
187,817,1009
188,817,2294
189,817,1911
190,1846,1969
191,1851,1969
192,1217,1969
193,962,1969
194,1619,1969
195,852,1969
196,1969,2260
197,1969,2136
198,1625,1969
199,1635,1969
200,1969,2153
201,1969,2282
202,1264,1969
203,1009,1969
204,1969,2294
205,1911,1969
206,1846,1851
207,1217,1846
208,962,1846
209,1619,1846
210,852,1846
211,1846,2260
212,1846,2136
213,1625,1846
214,1635,1846
215,1846,2153
216,1846,2282
217,1264,1846
218,1009,1846
219,1846,2294
220,1846,1911
221,1217,1851
222,962,1851
223,1619,1851
224,852,1851
225,1851,2260
226,1851,2136
227,1625,1851
228,1635,1851
229,1851,2153
230,1851,2282
231,1264,1851
232,1009,1851
233,1851,2294
234,1851,1911
235,962,1217
236,1217,1619
237,852,1217
238,1217,2260
239,1217,2136
240,1217,1625
241,1217,1635
242,1217,2153
243,1217,2282
244,1217,1264
245,1009,1217
246,1217,2294
247,1217,1911
248,962,1619
249,852,962
250,962,2260
251,962,2136
252,962,1625
253,962,1635
254,962,2153
255,962,2282
256,962,1264
257,962,1009
258,962,2294
259,962,1911
260,852,1619
261,1619,2260
262,1619,2136
263,1619,1625
264,1619,1635
265,1619,2153
266,1619,2282
267,1264,1619
268,1009,1619
269,1619,2294
270,1619,1911
271,852,2260
272,852,2136
273,852,1625
274,852,1635
275,852,2153
276,852,2282
277,852,1264
278,852,1009
279,852,2294
280,852,1911
281,2136,2260
