,u,i
0,691,1952
1,686,1608
2,3108,398
3,3225,1737
4,1215,417
5,4759,65
6,4134,13
7,3446,393
8,744,1963
9,2755,1973
10,4119,2364
11,1856,1352
12,1140,1182
13,3129,1625
14,892,1834
15,1478,1177
16,1077,833
17,4129,19
18,3186,1378
19,488,438
20,3776,2375
21,4431,357
22,3956,1030
23,1776,1773
24,320,1793
25,1662,705
26,2555,1511
27,2997,1856
28,1283,1840
29,156,638
30,2843,1389
31,1336,720
32,4395,1831
33,3335,1851
34,403,515
35,2,171
36,2648,921
37,2582,301
38,4478,553
39,2521,2277
40,331,2332
41,993,731
42,1996,177
43,3393,2206
44,122,1404
45,1925,1465
46,2859,2272
47,1763,383
48,1367,383
49,4003,445
50,3106,2149
51,864,2014
52,4804,1662
53,2171,1871
54,4153,389
55,4316,2073
56,4056,456
57,4178,2139
58,4054,383
59,3087,594
60,1256,1491
61,917,2025
62,363,685
63,1383,1266
64,4795,795
65,328,1630
66,3685,2206
67,4209,671
68,1000,747
69,4644,599
70,604,747
71,4362,1667
72,661,1281
73,1034,331
74,4456,548
75,414,623
76,1682,552
77,4416,1149
78,3676,1339
79,2153,137
80,384,1912
81,3113,2165
82,3452,1631
83,241,1634
84,184,1100
85,1832,496
86,3322,60
87,2272,768
88,4657,1211
89,1021,1974
90,390,2107
91,2852,296
92,1950,1656
93,479,644
94,3450,1908
95,3099,173
96,616,1107
97,1514,2257
98,444,1589
99,801,106
100,2186,1374
101,3397,769
102,1504,788
103,4176,507
104,4704,626
105,8,1409
106,3308,1451
107,1997,1852
108,2427,1436
109,2872,2052
110,494,2056
111,3859,1739
112,4483,2320
113,525,588
114,3670,2217
115,2801,307
116,373,194
117,932,1878
118,1269,1271
119,3664,2402
120,3053,528
121,2547,1888
122,4099,2330
123,3109,1591
124,1080,1749
125,2859,662
126,3346,780
127,455,1697
128,3189,2294
129,1358,939
130,3259,1535
131,702,1574
132,3694,1463
133,3064,1067
134,3501,1068
135,3900,1339
136,3337,2165
137,4772,1268
138,71,1707
139,3808,1750
140,3959,1165
141,2839,1888
142,3711,1817
143,2589,959
144,2682,1150
145,4244,2280
146,378,137
147,1625,1441
148,2339,30
149,4390,1351
150,4054,2156
151,3374,1643
152,2770,216
153,1051,2108
154,4736,1961
155,467,2057
156,4080,344
157,3988,755
158,4485,1561
159,4511,530
160,4189,287
161,3258,155
162,1981,2392
163,3313,616
164,4539,1043
165,4687,1695
166,2851,2248
167,487,430
168,3596,2402
169,1421,1237
170,1273,585
171,294,35
172,1359,359
173,796,1185
174,4471,350
175,4314,1864
176,262,1251
177,1160,2401
178,1201,2402
179,1530,1180
180,170,1662
181,941,785
182,2775,159
183,980,713
184,78,2073
185,565,2191
186,3622,1721
187,4300,653
188,201,194
189,4109,1058
190,4484,181
191,3085,735
192,895,790
193,499,790
194,4637,1177
195,1306,1822
196,342,2304
197,3053,1951
198,3423,730
199,4813,2342
200,1019,1765
201,551,199
202,4883,1583
203,1863,400
204,2818,2084
205,1054,1951
206,4557,1598
207,174,626
208,4377,2162
209,2911,1494
210,2228,2218
211,2384,1977
212,4717,2230
213,240,2377
214,983,206
215,446,2253
216,3772,1264
217,631,1252
218,4029,1829
219,2339,1453
220,2003,6
221,2739,2326
222,2656,571
223,3635,1151
224,4116,1424
225,3395,910
226,322,847
227,3041,412
228,2574,1700
229,2334,1459
230,4672,2056
231,396,1735
232,4886,295
233,2042,1058
234,1631,26
235,333,1386
236,3062,1639
237,1226,2192
238,3734,726
239,1544,781
240,515,114
241,205,2140
242,3684,639
243,1349,313
244,2905,120
245,4801,372
246,4400,28
247,1003,53
248,1839,325
249,2503,305
250,1367,1269
251,3710,2210
252,2299,2003
253,3890,865
254,3494,865
255,3114,1398
256,1811,2414
257,1962,1829
258,1890,263
259,2239,417
260,3941,803
261,188,227
262,3471,1820
263,3388,65
264,3849,1214
265,2383,546
266,3950,2020
267,856,1854
268,2327,614
269,2481,300
270,1626,1506
271,2968,418
272,3004,75
273,506,2229
274,4490,2149
275,4829,1615
276,1964,1501
277,532,417
278,2844,2045
279,3768,2164
280,3716,1974
281,908,2394
282,3016,85
283,4390,1164
284,1150,1927
285,564,1803
286,3210,301
287,4160,1641
288,1272,577
289,607,1126
290,1558,382
291,211,1126
292,2107,1378
