,u,v
0,0,1280
1,0,2307
2,0,4871
3,0,4488
4,0,1164
5,0,4492
6,0,2447
7,0,2194
8,0,533
9,0,2581
10,0,2711
11,0,3991
12,0,2974
13,0,4384
14,0,2466
15,0,2468
16,0,2217
17,0,1326
18,0,2101
19,0,1721
20,0,1722
21,0,4153
22,0,2364
23,0,4038
24,0,1863
25,0,4294
26,0,4295
27,0,2379
28,0,2636
29,0,1877
30,0,1627
31,0,4706
32,0,2403
33,0,1128
34,0,492
35,0,2413
36,0,1391
37,0,3953
38,0,4211
39,0,2166
40,0,2939
41,0,2428
42,0,3837
43,1280,2307
44,1280,4871
45,1280,4488
46,1164,1280
47,1280,4492
48,1280,2447
49,1280,2194
50,533,1280
51,1280,2581
52,1280,2711
53,1280,3991
54,1280,2974
55,1280,4384
56,1280,2466
57,1280,2468
58,1280,2217
59,1280,1326
60,1280,2101
61,1280,1721
62,1280,1722
63,1280,4153
64,1280,2364
65,1280,4038
66,1280,1863
67,1280,4294
68,1280,4295
69,1280,2379
70,1280,2636
71,1280,1877
72,1280,1627
73,1280,4706
74,1280,2403
75,1128,1280
76,492,1280
77,1280,2413
78,1280,1391
79,1280,3953
80,1280,4211
81,1280,2166
82,1280,2939
83,1280,2428
84,1280,3837
85,2307,4871
86,2307,4488
87,1164,2307
88,2307,4492
89,2307,2447
90,2194,2307
91,533,2307
92,2307,2581
93,2307,2711
94,2307,3991
95,2307,2974
96,2307,4384
97,2307,2466
98,2307,2468
99,2217,2307
100,1326,2307
101,2101,2307
102,1721,2307
103,1722,2307
104,2307,4153
105,2307,2364
106,2307,4038
107,1863,2307
108,2307,4294
109,2307,4295
110,2307,2379
111,2307,2636
112,1877,2307
113,1627,2307
114,2307,4706
115,2307,2403
116,1128,2307
117,492,2307
118,2307,2413
119,1391,2307
120,2307,3953
121,2307,4211
122,2166,2307
123,2307,2939
124,2307,2428
125,2307,3837
126,4488,4871
127,1164,4871
128,4492,4871
129,2447,4871
130,2194,4871
131,533,4871
132,2581,4871
133,2711,4871
134,3991,4871
135,2974,4871
136,4384,4871
137,2466,4871
138,2468,4871
139,2217,4871
140,1326,4871
141,2101,4871
142,1721,4871
143,1722,4871
144,4153,4871
145,2364,4871
146,4038,4871
147,1863,4871
148,4294,4871
149,4295,4871
150,2379,4871
151,2636,4871
152,1877,4871
153,1627,4871
154,4706,4871
155,2403,4871
156,1128,4871
157,492,4871
158,2413,4871
159,1391,4871
160,3953,4871
161,4211,4871
162,2166,4871
163,2939,4871
164,2428,4871
165,3837,4871
166,1164,4488
167,4488,4492
168,2447,4488
169,2194,4488
170,533,4488
171,2581,4488
172,2711,4488
173,3991,4488
174,2974,4488
175,4384,4488
176,2466,4488
177,2468,4488
178,2217,4488
179,1326,4488
180,2101,4488
181,1721,4488
182,1722,4488
183,4153,4488
184,2364,4488
185,4038,4488
186,1863,4488
187,4294,4488
188,4295,4488
189,2379,4488
190,2636,4488
191,1877,4488
192,1627,4488
193,4488,4706
194,2403,4488
195,1128,4488
196,492,4488
197,2413,4488
198,1391,4488
199,3953,4488
200,4211,4488
201,2166,4488
202,2939,4488
203,2428,4488
204,3837,4488
205,1164,4492
206,1164,2447
207,1164,2194
208,533,1164
209,1164,2581
210,1164,2711
211,1164,3991
212,1164,2974
213,1164,4384
214,1164,2466
215,1164,2468
216,1164,2217
217,1164,1326
218,1164,2101
219,1164,1721
220,1164,1722
221,1164,4153
222,1164,2364
223,1164,4038
224,1164,1863
225,1164,4294
226,1164,4295
227,1164,2379
228,1164,2636
229,1164,1877
230,1164,1627
231,1164,4706
232,1164,2403
233,1128,1164
234,492,1164
235,1164,2413
236,1164,1391
237,1164,3953
238,1164,4211
239,1164,2166
240,1164,2939
241,1164,2428
242,1164,3837
243,2447,4492
244,2194,4492
245,533,4492
246,2581,4492
247,2711,4492
248,3991,4492
249,2974,4492
250,4384,4492
251,2466,4492
252,2468,4492
253,2217,4492
254,1326,4492
255,2101,4492
256,1721,4492
257,1722,4492
258,4153,4492
259,2364,4492
260,4038,4492
261,1863,4492
262,4294,4492
263,4295,4492
264,2379,4492
265,2636,4492
266,1877,4492
267,1627,4492
268,4492,4706
269,2403,4492
270,1128,4492
271,492,4492
272,2413,4492
273,1391,4492
274,3953,4492
275,4211,4492
276,2166,4492
277,2939,4492
278,2428,4492
279,3837,4492
280,2194,2447
281,533,2447
282,2447,2581
283,2447,2711
284,2447,3991
285,2447,2974
286,2447,4384
287,2447,2466
288,2447,2468
289,2217,2447
290,1326,2447
291,2101,2447
292,1721,2447
293,1722,2447
294,2447,4153
295,2364,2447
296,2447,4038
297,1863,2447
298,2447,4294
299,2447,4295
300,2379,2447
301,2447,2636
302,1877,2447
303,1627,2447
304,2447,4706
305,2403,2447
306,1128,2447
307,492,2447
308,2413,2447
309,1391,2447
310,2447,3953
311,2447,4211
312,2166,2447
313,2447,2939
314,2428,2447
315,2447,3837
316,533,2194
317,2194,2581
318,2194,2711
319,2194,3991
320,2194,2974
321,2194,4384
322,2194,2466
323,2194,2468
324,2194,2217
325,1326,2194
326,2101,2194
327,1721,2194
328,1722,2194
329,2194,4153
330,2194,2364
331,2194,4038
332,1863,2194
333,2194,4294
334,2194,4295
335,2194,2379
336,2194,2636
337,1877,2194
338,1627,2194
339,2194,4706
340,2194,2403
341,1128,2194
342,492,2194
343,2194,2413
344,1391,2194
345,2194,3953
346,2194,4211
347,2166,2194
348,2194,2939
349,2194,2428
350,2194,3837
351,533,2581
352,533,2711
353,533,3991
354,533,2974
355,533,4384
356,533,2466
357,533,2468
358,533,2217
359,533,1326
360,533,2101
361,533,1721
362,533,1722
363,533,4153
364,533,2364
365,533,4038
366,533,1863
367,533,4294
368,533,4295
369,533,2379
370,533,2636
371,533,1877
372,533,1627
373,533,4706
374,533,2403
375,533,1128
376,492,533
377,533,2413
378,533,1391
379,533,3953
380,533,4211
381,533,2166
382,533,2939
383,533,2428
384,533,3837
385,2581,2711
386,2581,3991
387,2581,2974
388,2581,4384
389,2466,2581
390,2468,2581
391,2217,2581
392,1326,2581
393,2101,2581
394,1721,2581
395,1722,2581
396,2581,4153
397,2364,2581
398,2581,4038
399,1863,2581
400,2581,4294
401,2581,4295
402,2379,2581
403,2581,2636
404,1877,2581
405,1627,2581
406,2581,4706
407,2403,2581
408,1128,2581
409,492,2581
410,2413,2581
411,1391,2581
412,2581,3953
413,2581,4211
414,2166,2581
415,2581,2939
416,2428,2581
417,2581,3837
418,2711,3991
419,2711,2974
420,2711,4384
421,2466,2711
422,2468,2711
423,2217,2711
424,1326,2711
425,2101,2711
426,1721,2711
427,1722,2711
428,2711,4153
429,2364,2711
430,2711,4038
431,1863,2711
432,2711,4294
433,2711,4295
434,2379,2711
435,2636,2711
436,1877,2711
437,1627,2711
438,2711,4706
439,2403,2711
440,1128,2711
441,492,2711
442,2413,2711
443,1391,2711
444,2711,3953
445,2711,4211
446,2166,2711
447,2711,2939
448,2428,2711
449,2711,3837
450,2974,3991
451,3991,4384
452,2466,3991
453,2468,3991
454,2217,3991
455,1326,3991
456,2101,3991
457,1721,3991
458,1722,3991
459,3991,4153
460,2364,3991
461,3991,4038
462,1863,3991
463,3991,4294
464,3991,4295
465,2379,3991
466,2636,3991
467,1877,3991
468,1627,3991
469,3991,4706
470,2403,3991
471,1128,3991
472,492,3991
473,2413,3991
474,1391,3991
475,3953,3991
476,3991,4211
477,2166,3991
478,2939,3991
479,2428,3991
480,3837,3991
481,2974,4384
482,2466,2974
483,2468,2974
484,2217,2974
485,1326,2974
486,2101,2974
487,1721,2974
488,1722,2974
489,2974,4153
490,2364,2974
491,2974,4038
492,1863,2974
493,2974,4294
494,2974,4295
495,2379,2974
496,2636,2974
497,1877,2974
498,1627,2974
499,2974,4706
500,2403,2974
501,1128,2974
502,492,2974
503,2413,2974
504,1391,2974
505,2974,3953
506,2974,4211
507,2166,2974
508,2939,2974
509,2428,2974
510,2974,3837
511,2466,4384
512,2468,4384
513,2217,4384
514,1326,4384
515,2101,4384
516,1721,4384
517,1722,4384
518,4153,4384
519,2364,4384
520,4038,4384
521,1863,4384
522,4294,4384
523,4295,4384
524,2379,4384
525,2636,4384
526,1877,4384
527,1627,4384
528,4384,4706
529,2403,4384
530,1128,4384
531,492,4384
532,2413,4384
